iter	Passed	Remaining
738	7741	2734
739	7752	2723
740	7762	2713
741	7772	2702
742	7782	2691
743	7793	2681
744	7803	2670
745	7813	2660
746	7823	2649
747	7834	2639
748	7844	2628
749	7854	2618
750	7864	2607
751	7875	2597
752	7885	2586
753	7895	2576
754	7906	2565
755	7916	2554
756	7926	2544
757	7936	2533
758	7947	2523
759	7957	2512
760	7967	2502
761	7978	2491
762	7988	2481
763	7998	2470
764	8009	2460
765	8019	2449
766	8029	2439
767	8039	2428
768	8050	2418
769	8060	2407
770	8070	2397
771	8080	2386
772	8090	2376
773	8101	2365
774	8111	2355
775	8122	2344
776	8132	2333
777	8142	2323
778	8153	2313
779	8163	2302
780	8174	2292
781	8184	2281
782	8194	2271
783	8204	2260
784	8214	2249
785	8225	2239
786	8235	2228
787	8246	2218
788	8256	2207
789	8266	2197
790	8276	2186
791	8287	2176
792	8297	2165
793	8307	2155
794	8317	2144
795	8328	2134
796	8339	2124
797	8349	2113
798	8359	2103
799	8369	2092
800	8380	2081
801	8390	2071
802	8400	2060
803	8411	2050
804	8421	2040
805	8431	2029
806	8442	2018
807	8452	2008
808	8462	1998
809	8473	1987
810	8483	1977
811	8497	1967
812	8507	1956
813	8517	1946
814	8527	1935
815	8538	1925
816	8548	1914
817	8558	1904
818	8569	1893
819	8579	1883
820	8589	1872
821	8600	1862
822	8610	1851
823	8620	1841
824	8631	1830
825	8641	1820
826	8651	1809
827	8662	1799
828	8672	1788
829	8682	1778
830	8693	1767
831	8703	1757
832	8716	1747
833	8726	1737
834	8737	1726
835	8747	1716
836	8757	1705
837	8768	1695
838	8778	1684
839	8788	1674
840	8799	1663
841	8809	1653
842	8820	1642
843	8830	1632
844	8840	1621
845	8851	1611
846	8861	1600
847	8872	1590
848	8882	1579
849	8892	1569
850	8902	1558
851	8915	1548
852	8925	1538
853	8935	1527
854	8946	1517
855	8956	1506
856	8966	1496
857	8977	1485
858	8987	1475
859	8997	1464
860	9008	1454
861	9018	1443
862	9028	1433
863	9038	1422
864	9048	1412
865	9059	1401
866	9069	1391
867	9079	1380
868	9089	1370
869	9100	1359
870	9110	1349
871	9120	1338
872	9131	1328
873	9141	1317
874	9151	1307
875	9161	1296
876	9171	1286
877	9182	1275
878	9192	1265
879	9202	1254
880	9212	1244
881	9223	1233
882	9233	1223
883	9244	1213
884	9254	1202
885	9264	1192
886	9275	1181
887	9285	1171
888	9295	1160
889	9305	1150
890	9316	1139
891	9326	1129
892	9336	1118
893	9346	1108
894	9356	1097
895	9367	1087
896	9377	1076
897	9387	1066
898	9397	1055
899	9408	1045
900	9418	1034
901	9428	1024
902	9439	1013
903	9449	1003
904	9460	993
905	9470	982
906	9480	972
907	9490	961
908	9501	951
909	9511	940
910	9521	930
911	9532	919
912	9542	909
913	9552	898
914	9563	888
915	9573	877
916	9583	867
917	9593	856
918	9603	846
919	9613	835
920	9624	825
921	9634	815
922	9644	804
923	9654	794
924	9665	783
925	9675	773
926	9685	762
927	9696	752
928	9706	741
929	9716	731
930	9726	720
931	9737	710
932	9747	699
933	9757	689
934	9767	679
935	9778	668
936	9788	658
937	9798	647
938	9808	637
939	9818	626
940	9829	616
941	9839	605
942	9850	595
943	9860	584
944	9870	574
945	9881	564
946	9891	553
947	9901	543
948	9911	532
949	9922	522
950	9932	511
951	9942	501
952	9952	490
953	9963	480
954	9973	469
955	9983	459
956	9994	449
957	10004	438
958	10014	428
959	10024	417
960	10035	407
961	10045	396
962	10056	386
963	10066	375
964	10076	365
965	10086	355
966	10097	344
967	10107	334
968	10117	323
969	10127	313
970	10137	302
971	10148	292
972	10158	281
973	10168	271
974	10179	261
975	10189	250
976	10199	240
977	10209	229
978	10220	219
979	10230	208
980	10240	198
981	10251	187
982	10261	177
983	10272	167
984	10282	156
985	10292	146
986	10303	135
987	10313	125
988	10323	114
989	10333	104
990	10344	93
991	10354	83
992	10364	73
993	10375	62
994	10385	52
995	10395	41
996	10406	31
997	10416	20
998	10426	10
999	10436	0
